problem,type,objective,budget,stopping_criterium,instance
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_10_01.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_20_01.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_10_01.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_20_01.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_10_01.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_20_01.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_10_02.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_20_02.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_10_02.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_20_02.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_10_02.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_20_02.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_10_03.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_20_03.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_10_03.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_20_03.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_10_03.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_20_03.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_10_04.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_20_04.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_10_04.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_20_04.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_10_04.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_20_04.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_10_05.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_50_20_05.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_10_05.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_100_20_05.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_10_05.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taill-like_rand_200_20_05.dat

